device_code,state_number,course,device_time,state,longitude,latitude,altitude,speed,accelerations,fuel_spent,satellitesvalid,hdop,valid,time
868183036079569,,179,1605542168,,43.92821610996691,56.274896277178755,0.0,0,,,,0,0.0,2020-11-16 15:56:08
868004026621527,,0,1605542167,,44.02115197014556,56.32342280268749,0.0,0,,,,0,0.0,2020-11-16 15:56:07
1900995,,276,1605542175,,37.679062,55.78801,0.0,2,"X: 0.059082
Y: -0.0625
Z: -1.076904
",,,0,0.0,2020-11-16 15:56:15
100137480000000,,85,1605542174,,43.848691294865844,56.31280125498604,0.0,20,,,,0,0.0,2020-11-16 15:56:14
EEEEEEEEE118658,,93,1605542170,,43.32066626365312,54.92220462647318,0.0,0,,,,0,0.0,2020-11-16 15:56:10
356306055230263,,0,1605542160,,43.91157836744366,56.321738375425745,0.0,0,,,,0,0.0,2020-11-16 15:56:00
EEEEEEE10034691,,173,1605542167,,45.32178999048699,55.0122141966159,0.0,0,,,,0,0.0,2020-11-16 15:56:07
100137740000000,,169,1603291846,,43.983131657350604,56.31718398451739,0.0,41,,,,0,0.0,2020-10-21 14:50:46
133511000000000,,65,1605542128,,43.87438149281647,56.35096908927685,0.0,17,,,,0,0.0,2020-11-16 15:55:28
398014000000000,,0,1605542097,,43.94007415602451,56.328948153259454,0.0,0,,,,0,0.0,2020-11-16 15:54:57
356850083601698,,0,1605051317,,43.914013813229744,56.32146479010616,0.0,0,,,,0,0.0,2020-11-10 23:35:17
356850083601698,,0,1605051438,,43.91382605859866,56.32147551894222,0.0,0,,,,0,0.0,2020-11-10 23:37:18
EEEEEEEEE121478,,89,1605542175,,43.292572806424594,54.91653980103241,0.0,0,,,,0,0.0,2020-11-16 15:56:15
109367000000000,,193,1605542175,,43.98218215535911,56.292325271361584,0.0,3,,,,0,0.0,2020-11-16 15:56:15
416624000000000,,0,1605542023,,43.856284628588774,56.22098387596686,0.0,0,,,,0,0.0,2020-11-16 15:53:43
416625000000000,,236,1605542031,,43.86827946730617,56.23563410160961,0.0,11,,,,0,0.0,2020-11-16 15:53:51
356850083601698,,0,1605051559,,43.91399503776664,56.32145942568813,0.0,0,,,,0,0.0,2020-11-10 23:39:19
EEEEEEEEEE58500,,14,1605542173,,43.32756490524103,54.931833756838884,0.0,33,,,,0,0.0,2020-11-16 15:56:13
416626000000000,,0,1605542124,,43.83549750871852,56.229679597595165,0.0,0,,,,0,0.0,2020-11-16 15:55:24
356850083601698,,0,1605051680,,43.913986991139595,56.32149697661435,0.0,0,,,,0,0.0,2020-11-10 23:41:20
1900995,,181,1605542176,,37.679097,55.788,0.0,0,"X: 0.046387
Y: -0.01001
Z: -1.062988
",,,0,0.0,2020-11-16 15:56:16
419364000000000,,0,1605542021,,43.93996686766389,56.32891060233324,0.0,0,,,,0,0.0,2020-11-16 15:53:41
419373000000000,,0,1605542043,,42.13107974318114,55.363771332279725,0.0,0,,,,0,0.0,2020-11-16 15:54:03
356850083601698,,0,1605051801,,43.91390652486913,56.321454061270096,0.0,0,,,,0,0.0,2020-11-10 23:43:21
EEEEEEEEEE58569,,129,1605542175,,43.321430693222545,54.92148043003899,0.0,0,,,,0,0.0,2020-11-16 15:56:15
419371000000000,,0,1605542132,,43.558685491690106,56.30175055384211,0.0,1,,,,0,0.0,2020-11-16 15:55:32
419878000000000,,0,1605541987,,43.940135846831865,56.328808678390644,0.0,0,,,,0,0.0,2020-11-16 15:53:07
356850083601698,,0,1605051922,,43.91394139358633,56.32147015452419,0.0,0,,,,0,0.0,2020-11-10 23:45:22
416623000000000,,57,1605542166,,43.88255418368675,56.2689578664184,0.0,54,,,,0,0.0,2020-11-16 15:56:06
356850083601698,,0,1605052043,,43.91401649543876,56.321448696852066,0.0,0,,,,0,0.0,2020-11-10 23:47:23
419902000000000,,0,1605542102,,43.93987567255736,56.3289213311693,0.0,0,,,,0,0.0,2020-11-16 15:55:02
419374000000000,,85,1605542112,,43.13654066136492,56.28368319391359,0.0,91,,,,0,0.0,2020-11-16 15:55:12
424482000000000,,0,1605542037,,42.13028044489452,55.363626492992886,0.0,0,,,,0,0.0,2020-11-16 15:53:57
356850083601698,,0,1605052164,,43.914032588692855,56.321454061270096,0.0,0,,,,0,0.0,2020-11-10 23:49:24
EEEEEEEEE137029,,87,1605542174,,43.32063675935395,54.92178620186676,0.0,0,,,,0,0.0,2020-11-16 15:56:14
EEEEEEEEE121480,,0,1605542174,,43.32066626365312,54.92172182885039,0.0,0,,,,0,0.0,2020-11-16 15:56:14
424489000000000,,0,1605541927,,43.535698960427126,56.092329038328565,0.0,0,,,,0,0.0,2020-11-16 15:52:07
424493000000000,,0,1605542016,,43.53558362543946,56.09241486901706,0.0,0,,,,0,0.0,2020-11-16 15:53:36
430573000000000,,0,1605542027,,43.53533686221003,56.09228612298432,0.0,0,,,,0,0.0,2020-11-16 15:53:47
EEEEEEEEE121551,,26,1605542175,,43.33530039604178,54.919205916793835,0.0,0,,,,0,0.0,2020-11-16 15:56:15
861693030633911,,127,1605542174,,44.0197411282034,56.31129385351932,0.0,6,,,,0,0.0,2020-11-16 15:56:14
430577000000000,,0,1605542044,,43.93986226151228,56.32857264399728,0.0,0,,,,0,0.0,2020-11-16 15:54:04
282410000000000,,236,1605542168,,43.99845779966527,56.257617486700795,0.0,43,,,,0,0.0,2020-11-16 15:56:08
EEEEEEEEE119070,,21,1605542174,,43.347499082644354,54.91334260788591,0.0,40,,,,0,0.0,2020-11-16 15:56:14
419375000000000,,196,1605542141,,42.661301503577576,56.428125513817214,0.0,5,,,,0,0.0,2020-11-16 15:55:41
EEEEEEEEE121522,,82,1605542175,,43.29147041851922,54.91658808079469,0.0,0,,,,0,0.0,2020-11-16 15:56:15
866795037497706,,0,1605542165,,43.872573683940004,56.303579820390695,0.0,50,,,,0,0.0,2020-11-16 15:56:05
EEEEEEEEE121477,,23,1605542175,,43.33088816221126,54.930492652331125,0.0,46,,,,0,0.0,2020-11-16 15:56:15
408715000000000,,55,1605542107,,43.17843140176927,56.222566379286015,0.0,33,,,,0,0.0,2020-11-16 15:55:07
357804043646292,,167,1605542120,,43.908990035743685,56.320922983885026,0.0,0,,,,0,0.0,2020-11-16 15:55:20
868345039400171,,119,1605542165,,43.56631369413024,56.522566093253566,0.0,40,,,,0,0.0,2020-11-16 15:56:05
867793036166215,,97,1605542166,,43.802643130487446,56.38144434811115,0.0,54,,,,0,0.0,2020-11-16 15:56:06
1900995,,0,1605542177,,37.679135,55.787992,0.0,0,"X: 0.026855
Y: -0.007568
Z: -1.04126
",,,0,0.0,2020-11-16 15:56:17
135707600000000,,209,1605542082,,43.93942237923374,56.32869066119397,0.0,0,,,,0,0.0,2020-11-16 15:54:42
200612600000000,,227,1605542033,,43.851142833906025,56.3204348218442,0.0,0,,,,0,0.0,2020-11-16 15:53:53
867793036166215,,102,1605542174,,43.804649422831055,56.38129950882431,0.0,58,,,,0,0.0,2020-11-16 15:56:14
205420200000000,,0,1605541895,,43.463805029975205,56.67413236030241,0.0,2,,,,0,0.0,2020-11-16 15:51:35
868183034008412,,248,1605542172,,44.037213037730474,56.3014716041045,0.0,26,,,,0,0.0,2020-11-16 15:56:12
868345039401211,,208,1605542172,,43.59729857267749,56.486232889929376,0.0,44,,,,0,0.0,2020-11-16 15:56:12
EEEEEEEEE118658,,93,1605542175,,43.32066626365312,54.92220462647318,0.0,0,,,,0,0.0,2020-11-16 15:56:15
EEEEEEEEE121221,,114,1605542175,,43.320701132370324,54.92156089630946,0.0,0,,,,0,0.0,2020-11-16 15:56:15
208929700000000,,0,1605541546,,44.48083968006094,56.804981244915396,0.0,0,,,,0,0.0,2020-11-16 15:45:46
867717030409966,,142,1605542107,,43.98374856542417,56.27943457483301,0.0,0,,,,0,0.0,2020-11-16 15:55:07
868183034008412,,255,1605542170,,44.03745175433286,56.301519883866774,0.0,23,,,,0,0.0,2020-11-16 15:56:10
206926200000000,,0,1605541789,,44.48073507390934,56.804847134464616,0.0,0,,,,0,0.0,2020-11-16 15:49:49
210879100000000,,0,1605541746,,43.851132105069965,56.320483101606484,0.0,0,,,,0,0.0,2020-11-16 15:49:06
868345039401211,,213,1605542173,,43.597239564079146,56.48635627154409,0.0,44,,,,0,0.0,2020-11-16 15:56:13
419380000000000,,176,1605542140,,43.89956743547217,56.31472171664115,0.0,10,,,,0,0.0,2020-11-16 15:55:40
EEEEEEEEE121214,,14,1605542173,,43.29219461495341,54.91659880963075,0.0,0,,,,0,0.0,2020-11-16 15:56:13
334241000000000,,27,1605542072,,43.8249671561236,57.13394881625053,0.0,0,,,,0,0.0,2020-11-16 15:54:32
356850083601698,,0,1605052285,,43.9140406353199,56.32143260359798,0.0,0,,,,0,0.0,2020-11-10 23:51:25
356850083601698,,0,1605052406,,43.91404599973793,56.32143260359798,0.0,0,,,,0,0.0,2020-11-10 23:53:26
419888000000000,,209,1605542161,,42.98149556922296,55.382455600281816,0.0,7,,,,0,0.0,2020-11-16 15:56:01
356850083601698,,0,1605052527,,43.914027224274825,56.32140578150782,0.0,0,,,,0,0.0,2020-11-10 23:55:27
430576000000000,,203,1605542148,,43.55944187463248,56.30265714048935,0.0,37,,,,0,0.0,2020-11-16 15:55:48
EEEEEEEEE119068,,58,1605542175,,43.320567021919544,54.921673549088105,0.0,0,,,,0,0.0,2020-11-16 15:56:15
356850083601698,,0,1605052648,,43.91397894451254,56.321373594999635,0.0,0,,,,0,0.0,2020-11-10 23:57:28
430579000000000,,144,1605542130,,43.54576797307138,56.26813711045965,0.0,19,,,,0,0.0,2020-11-16 15:55:30
